,Fav,Fav_Loss_Count
7710,Nuno Borges,3
7715,Jenson Brooksby,1
7716,Botic Van De Zandschulp,6
7717,Matteo Gigante,5
7720,Taylor Fritz,5
7723,Emma Navarro,8
7724,Martin Klizan,2
7727,Nicolai Budkov Kjaer,2
7729,Borna Gojo,2
7730,Jacob Fearnley,1
7736,Fabian Marozsan,7
7741,Olga Danilovic,5
7742,Marta Kostyuk,3
7744,Emma Raducanu,0
7746,Hugo Gaston,4
7748,Daniil Medvedev,5
7750,Bernarda Pera,5
7751,Ashlyn Krueger,5
7752,Caroline Dolehide,1
7753,Maria Sakkari,7
7754,Camila Osorio,5
7757,Francisco Cerundolo,11
7759,Jiri Lehecka,2
7761,Terence Atmane,2
7765,Jaume Munar,13
7766,Aleksandar Kovacevic,5
7768,Sebastian Ofner,6
7770,Katie Boulter,2
7771,Gabriela Ruse Elena,2
7774,Jesper De Jong,14
7779,Moyuka Uchijima,3
7782,Elina Avanesyan,5
7784,Beatriz Haddad Maia,5
7785,Taylor Townsend,3
7786,Barbora Krejcikova,3
7791,Ugo Humbert,6
7794,Benjamin Bonzi,5
7795,Miomir Kecmanovic,6
7796,Mariano Navone,8
7797,Daniel Altmaier,13
7801,Gael Monfils,1
7805,Corentin Moutet,9
7809,Nikoloz Basilashvili,7
7810,Andrey Rublev,10
7812,Casper Ruud,8
7813,Felix Auger Aliassime,6
7817,Donna Vekic,4
7818,Anastasia Potapova,4
7823,Victoria Mboko,1
7824,Karolina Muchova,2
7825,Anna Kalinskaya,3
7826,Yulia Putintseva,3
7827,Ann Li,0
7828,Elise Mertens,2
7829,Ons Jabeur,4
7833,August Holmgren,1
7838,Flavio Cobolli,8
7840,Joel Schwaerzler,13
7841,Duje Ajdukovic,9
7842,Danielle Collins,4
7844,Jelena Ostapenko,4
7846,Diana Shnaider,3
7847,Jaqueline Cristian,3
7849,Marie Bouzkova,4
7850,Clara Tauson,3
7854,Marketa Vondrousova,4
7857,Alejandro Davidovich Fokina,6
7858,Veronika Kudermetova,2
7859,Arthur Fils,9
7860,Alex De Minaur,5
7862,Giovanni Mpetshi Perricard,5
7863,Jessica Bouzas Maneiro,6
7865,Stefanos Tsitsipas,6
7870,Liudmila Samsonova,5
7873,Amanda Anisimova,2
7878,Sofia Kenin,4
7879,Daria Kasatkina,4
7880,Alexei Popyrin,8
7881,Karen Khachanov,4
7884,Denis Shapovalov,3
7887,Joao Fonseca,7
7888,Chris Rodesch,3
7890,Chris Rodesch,3
7891,Holger Rune,5
7894,Ekaterina Alexandrova,7
7896,Elena Rybakina,3
7898,Elina Svitolina,5
7900,Hamad Medjedovic,9
7901,Sebastian Korda,3
7902,Alexander Zverev,11
7903,Tallon Griekspoor,4
7908,Lois Boisson,1
7910,Paula Badosa,3
7911,Jerome Kym,9
7912,Ben Shelton,4
7914,Daniel Michalski,6
7916,Qinwen Zheng,2
7919,Sandro Kopp,3
7921,Andrew Paulson,2
7925,Cameron Norrie,7
7926,Alexander Bublik,2
7928,Hailey Baptiste,4
7930,Jasmine Paolini,4
7931,Tommy Paul,2
7935,Mika Brunold,7
7936,Jakub Mensik,5
7938,Frances Tiafoe,5
7940,Jonas Forejtek,10
7942,Petr Brunclik,1
7950,Madison Keys,3
7951,Jessica Pegula,6
7956,Max Houkes,7
7957,Henri Squire,10
7959,Jack Draper,5
7962,Pol Martin Tiffon,8
7974,Iga Swiatek,5
7977,Varvara Lepchenko,3
7979,Margaux Rouvroy,1
7981,Dominic Stricker,1
7983,Vit Kopriva,14
7984,Lorenzo Musetti,6
