Name,Service Games Won,Return Games Won
Maia Lumsden,0.0,0.0
Daniela Seguel,40.0,30.0
Nicole Khirin,0.0,0.0
Julia Terziyska,0.0,0.0
Haruna Arakawa,0.0,0.0
Aneta Laboutkova,0.0,0.0
Gabriela Knutson,0.0,0.0
Victoria Duval,0.0,0.0
Freya Christie,0.0,0.0
Chanelle Van Nguyen,0.0,0.0
Katharina Gerlach,0.0,0.0
Hiroko Kuwata,0.0,0.0
Sofia Sewing,0.0,0.0
Polona Hercog,0.0,0.0
Indy De Vroome,0.0,0.0
Ikumi Yamazaki,0.0,0.0
Anna Turati,0.0,0.0
Oceane Babel,0.0,0.0
Dalayna Hewitt,70.0,0.0
Fiona Ferro,51.3,35.1
Solana Sierra,0.0,0.0
Yana Morderger,0.0,50.0
Mia Ristic,0.0,0.0
Erika Sema,0.0,0.0
Celine Naef,0.0,0.0
Lucia Cortez Llorca,0.0,0.0
Ioana Loredana Rosca,0.0,0.0
Yafan Wang,0.0,0.0
Liv Hovde,0.0,0.0
Maria Bondarenko,0.0,0.0
Rina Saigo,28.6,0.0
Fanny Stollar,66.7,33.3
Miriam Kolodziejova,0.0,0.0
Olga Helmi,0.0,0.0
Luisa Meyer Auf Der Heide,0.0,0.0
Pei-Chi Lee,0.0,0.0
Sahaja  Yamalapalli,0.0,0.0
Andreea Prisacariu,0.0,0.0
Sijia Wei,0.0,0.0
Cristiana Ferrando,81.3,13.3
Alice Rame,0.0,0.0
Emiliana Arango,0.0,0.0
Marine Partaud,0.0,0.0
Kajsa Rinaldo Persson,0.0,0.0
Noelia Zeballos,0.0,0.0
Ellie Douglas,0.0,0.0
Diletta Cherubini,0.0,0.0
Alice Tubello,0.0,0.0
Jazmin Ortenzi,0.0,0.0
Yuliana Lizarazo,50.0,39.1
Viktoria Morvayova,0.0,0.0
Elizabeth Halbauer,0.0,0.0
Sofya Lansere,0.0,0.0
Priska Nugroho,0.0,0.0
Martina Colmegna,0.0,0.0
Ekaterina Maklakova,0.0,0.0
Mina Hodzic,0.0,0.0
Sandra Samir,0.0,0.0
Reese Brantmeier,0.0,0.0
Petra Hule,0.0,0.0
Nagi Hanatani,0.0,0.0
Ines Ibbou,0.0,0.0
Thaisa Grana Pedretti,0.0,0.0
Daria Kudashova,0.0,0.0
