Name,Service Games Won,Return Games Won
Saba Purtseladze,0.0,0.0
Matteo Berrettini,0.88,0.18
Ilya Ivashka,0.79,0.22
Filip Misolic,0.71,0.27
Marek Gengel,0.0,0.0
Zachary Svajda,0.67,0.25
Gauthier Onclin,0.0,0.0
Oleksandr Ovcharenko,0.0,0.0
Alec Deckers,0.0,0.0
Marin Cilic,0.86,0.23
Roberto Carballes Baena,0.74,0.21
Jan-Lennard Struff,0.82,0.12
Lucas Gerch,0.0,0.0
Mats Moraing,0.0,0.0
Mukund Sasikumar,0.0,0.0
Cem Ilkel,0.63,0.11
Daniele Capecchi,0.0,0.0
Denis Shapovalov,0.85,0.18
Federico Coria,0.68,0.25
Juan Manuel Cerundolo,0.65,0.2
Nicolas Alvarez Varona,0.64,0.32
Benjamin Hassan,0.0,0.0
Joris De Loore,0.0,0.0
Edan Leshem,0.82,0.18
Jc Aragone,0.0,0.0
Frances Tiafoe,0.81,0.19
Oscar Otte,0.8,0.2
Nicolas Jarry,0.87,0.05
Dan Added,0.0,0.0
Filip Cristian Jianu,0.0,0.0
Andrea Arnaboldi,0.0,0.0
Lucas Pouille,0.74,0.19
Arthur Weber,0.0,0.0
Karen Khachanov,0.82,0.2
Kamil Majchrzak,0.81,0.22
Mattia Bellucci,0.0,0.0
Titouan Droguet,0.0,0.0
Pierre-Hugues Herbert,0.75,0.16
Viktor Durasovic,0.59,0.05
Arthur Cazaux,0.0,0.0
Shuichi Sekiguchi,0.0,0.0
Roberto Bautista Agut,0.82,0.27
Christopher Oconnell,0.79,0.16
Alexander Shevchenko,0.57,0.14
Joao Domingues,0.0,0.0
Roberto Quiroz,0.0,0.0
Maxime Janvier,0.0,0.0
Jason Jung,0.0,0.0
Yuki Bhambri,0.79,0.2
Nick Kyrgios,0.93,0.19
Tomas Martin Etcheverry,0.69,0.14
James Duckworth,0.78,0.17
Jesper de Jong,0.74,0.1
Ernests Gulbis,0.0,0.0
Christian Harrison,0.77,0.15
Ergi Kirkin,0.0,0.0
Johannus Monday,0.0,0.0
Lorenzo Musetti,0.78,0.24
Dusan Lajovic,0.73,0.19
Gijs Brouwer,0.85,0.23
Daniel Masur,0.0,0.0
Beibit Zhukayev,0.14,0.14
Filip Horansky,0.0,0.0
Maks Kasnikowski,0.0,0.0
Justin Boulais,0.0,0.0
Alex De Minaur,0.78,0.29
Jiri Lehecka,0.75,0.18
Leandro Riedi,0.78,0.22
Valentin Vacherot,0.0,0.0
Louis Wessels,0.0,0.0
Aljaz Bedene,0.75,0.18
Alvaro Lopez San Martin,0.0,0.0
Digvijaypratap Singh,0.0,0.0
Juan Pablo Ficovich,0.78,0.16
Nicolas Moreno De Alboran,0.0,0.0
Emilio Nava,0.64,0.1
Lukas Rosol,0.71,0.15
Benoit Paire,0.67,0.17
Brandon Holt,0.82,0.25
Dennis Novak,0.71,0.13
Kimmer Coppejans,0.0,0.0
Andrea Pellegrino,0.0,0.0
Paul Jubb,0.76,0.13
Renzo Olivo,0.5,0.0
Max Purcell,0.68,0.2
Antoine Bellier,0.87,0.18
Yu Hsiou Hsu,0.0,0.0
Tung-Lin Wu,0.81,0.12
Dalibor Svrcina,0.0,0.0
Oleksii Krutykh,0.0,0.0
Marco Trungelliti,0.76,0.15
Damir Dzumhur,0.67,0.24
Genaro Alberto Olivieri,0.0,0.0
Riccardo Bonadio,0.0,0.0
Thiago Agustin Tirante,0.0,0.0
Mikhail Kukushkin,0.74,0.11
Ernesto Escobedo,0.68,0.11
Adrian Andreev,0.0,0.0
Gabriel Diallo,0.0,0.0
Santiago Rodriguez Taverna,0.72,0.28
Omar Jasika,0.0,0.0
Facundo Diaz Acosta,0.0,0.0
Nicholas David Ionel,0.0,0.0
Juncheng Shang,0.66,0.16
Tomas Barrios Vera,0.62,0.0
Sebastian Ofner,0.69,0.16
Nikola Milojevic,0.68,0.22
Raul Brancaccio,0.0,0.0
Gastao Elias,0.0,0.0
Nicolas Kicker,0.73,0.21
Miljan Zekic,0.0,0.0
